"","modgene","modtype","modchr","modstart","modend","modfeature"
"326","PA1057","1","NC_002516.2",1145955,1145956,"upstream"
"327","PA1062","1","NC_002516.2",1149402,1149403,"upstream"
"328","PA1067","1","NC_002516.2",1152640,1152641,"inside"
"329","PA1072","1","NC_002516.2",1161120,1161121,"upstream"
"330","PA1074","1","NC_002516.2",1162734,1162735,"inside"
"331","PA1080","1","NC_002516.2",1166562,1166563,"inside"
"332","PA1082","1","NC_002516.2",1167970,1167971,"upstream"
"333","PA1084","1","NC_002516.2",1169550,1169551,"upstream"
"334","PA1086","1","NC_002516.2",1173148,1173149,"inside"
"335","PA1090","1","NC_002516.2",1177089,1177090,"inside"
"336","PA1091","1","NC_002516.2",1178602,1178603,"inside"
"337","PA1092","1","NC_002516.2",1182244,1182245,"upstream"
"338","PA1096","1","NC_002516.2",1187099,1187100,"inside"
"339","PA1097","1","NC_002516.2",1187630,1187631,"inside"
"340","PA1103","1","NC_002516.2",1194875,1194876,"upstream"
"341","PA1108","1","NC_002516.2",1200621,1200622,"inside"
"342","PA1110","1","NC_002516.2",1202790,1202791,"inside"
"343","PA1125","1","NC_002516.2",1217636,1217637,"upstream"
"344","PA1126","1","NC_002516.2",1219666,1219667,"upstream"
"345","PA1141","1","NC_002516.2",1233397,1233398,"upstream"
"346","PA1143","1","NC_002516.2",1235336,1235337,"upstream"
"347","PA1146","1","NC_002516.2",1239387,1239388,"upstream"
"348","PA1148","1","NC_002516.2",1242478,1242479,"inside"
"349","PA1154","1","NC_002516.2",1250171,1250172,"upstream"
"350","PA1155","1","NC_002516.2",1251733,1251734,"upstream"
"351","PA1155","1","NC_002516.2",1252490,1252491,"upstream"
"352","PA1162","1","NC_002516.2",1260096,1260097,"inside"
"353","PA1169","1","NC_002516.2",1268214,1268215,"inside"
"354","PA1169","1","NC_002516.2",1268417,1268418,"inside"
"355","PA1170","1","NC_002516.2",1269321,1269322,"downstream"
"356","PA1170","1","NC_002516.2",1270733,1270734,"upstream"
"357","PA1172","1","NC_002516.2",1272503,1272504,"inside"
"358","PA1173","1","NC_002516.2",1273403,1273404,"upstream"
"359","PA1174","1","NC_002516.2",1275010,1275011,"inside"
"360","PA1181","1","NC_002516.2",1280413,1280414,"inside"
"361","PA1182","1","NC_002516.2",1282452,1282453,"downstream"
"362","PA1182","1","NC_002516.2",1283473,1283474,"inside"
"363","PA1183","1","NC_002516.2",1285088,1285089,"inside"
"364","PA1194","1","NC_002516.2",1295358,1295359,"inside"
"365","PA1194","1","NC_002516.2",1296084,1296085,"inside"
"366","PA1197","1","NC_002516.2",1298739,1298740,"inside"
"367","PA1199","1","NC_002516.2",1300482,1300483,"inside"
"368","PA1208","1","NC_002516.2",1307288,1307289,"upstream"
"369","PA1209","1","NC_002516.2",1309845,1309846,"inside"
"370","PA1210","1","NC_002516.2",1311048,1311049,"inside"
"371","PA1215","1","NC_002516.2",1317165,1317166,"inside"
"372","PA1217","1","NC_002516.2",1319788,1319789,"upstream"
"373","PA1221","1","NC_002516.2",1323450,1323451,"inside"
"374","PA1224","1","NC_002516.2",1327359,1327360,"inside"
"375","PA1235","1","NC_002516.2",1336292,1336293,"inside"
"376","PA1235","1","NC_002516.2",1336631,1336632,"downstream"
"377","PA1247","1","NC_002516.2",1351812,1351813,"upstream"
"378","PA1249","1","NC_002516.2",1356189,1356190,"inside"
"379","PA1250","1","NC_002516.2",1358059,1358060,"downstream"
"380","PA1250","1","NC_002516.2",1358070,1358071,"downstream"
"381","PA1251","1","NC_002516.2",1358640,1358641,"inside"
"382","PA1254","1","NC_002516.2",1363492,1363493,"upstream"
"383","PA1256","1","NC_002516.2",1364986,1364987,"inside"
"384","PA1256","1","NC_002516.2",1365372,1365373,"upstream"
"385","PA1257","1","NC_002516.2",1365663,1365664,"inside"
"386","PA1261","1","NC_002516.2",1370566,1370567,"upstream"
"387","PA1262","1","NC_002516.2",1371542,1371543,"inside"
"388","PA1279","1","NC_002516.2",1389992,1389993,"upstream"
"389","PA1279","1","NC_002516.2",1390057,1390058,"upstream"
"390","PA1281","1","NC_002516.2",1392173,1392174,"inside"
"391","PA1282","1","NC_002516.2",1393710,1393711,"inside"
"392","PA1283","1","NC_002516.2",1394815,1394816,"downstream"
"393","PA1287","1","NC_002516.2",1398930,1398931,"inside"
"394","PA1290","1","NC_002516.2",1401665,1401666,"inside"
"395","PA1293","1","NC_002516.2",1405120,1405121,"inside"
"396","PA1321","1","NC_002516.2",1432277,1432278,"inside"
"397","PA1327","1","NC_002516.2",1438086,1438087,"upstream"
"398","PA1327","1","NC_002516.2",1439050,1439051,"inside"
"399","PA1327","1","NC_002516.2",1439281,1439282,"inside"
"400","PA1335","1","NC_002516.2",1448073,1448074,"inside"
"401","PA1335","1","NC_002516.2",1449304,1449305,"upstream"
"402","PA1339","1","NC_002516.2",1454074,1454075,"inside"
"403","PA1353","1","NC_002516.2",1468038,1468039,"upstream"
"404","PA1369","1","NC_002516.2",1483364,1483365,"inside"
"405","PA1371","1","NC_002516.2",1486920,1486921,"inside"
"406","PA1372","1","NC_002516.2",1489051,1489052,"inside"
"407","PA1372","1","NC_002516.2",1490005,1490006,"upstream"
"408","PA1379","1","NC_002516.2",1496894,1496895,"inside"
"409","PA1384","1","NC_002516.2",1502893,1502894,"upstream"
"410","PA1385","1","NC_002516.2",1505036,1505037,"inside"
"411","PA1385","1","NC_002516.2",1505037,1505038,"inside"
"412","PA1390","1","NC_002516.2",1511315,1511316,"inside"
"413","PA1390","1","NC_002516.2",1511741,1511742,"inside"
"414","PA1393","1","NC_002516.2",1515741,1515742,"inside"
"415","PA1408","1","NC_002516.2",1531806,1531807,"inside"
"416","PA1408","1","NC_002516.2",1531962,1531963,"inside"
"417","PA1410","1","NC_002516.2",1533813,1533814,"upstream"
"418","PA1415","1","NC_002516.2",1539257,1539258,"inside"
"419","PA1415","1","NC_002516.2",1539279,1539280,"inside"
"420","PA1417","1","NC_002516.2",1542460,1542461,"inside"
"421","PA1418","1","NC_002516.2",1543669,1543670,"inside"
"422","PA1418","1","NC_002516.2",1543852,1543853,"inside"
"423","PA1418","1","NC_002516.2",1543918,1543919,"inside"
"424","PA1422","1","NC_002516.2",1547545,1547546,"inside"
"425","PA1423","1","NC_002516.2",1548529,1548530,"inside"
"426","PA1429","1","NC_002516.2",1555311,1555312,"inside"
"427","PA1430","1","NC_002516.2",1557201,1557202,"upstream"
"428","PA1433","1","NC_002516.2",1561041,1561042,"inside"
"429","PA1436","1","NC_002516.2",1563463,1563464,"upstream"
"430","PA1436","1","NC_002516.2",1564117,1564118,"inside"
"431","PA1436","1","NC_002516.2",1564398,1564399,"inside"
"432","PA1436","1","NC_002516.2",1564500,1564501,"inside"
"433","PA1436","1","NC_002516.2",1565154,1565155,"inside"
"434","PA1436","1","NC_002516.2",1565389,1565390,"inside"
"435","PA1436","1","NC_002516.2",1565394,1565395,"inside"
"436","PA1437","1","NC_002516.2",1566723,1566724,"upstream"
"437","PA1437","1","NC_002516.2",1567403,1567404,"inside"
"438","PA1438","1","NC_002516.2",1568634,1568635,"inside"
"439","PA1443","1","NC_002516.2",1572649,1572650,"inside"
"440","PA1445","1","NC_002516.2",1573989,1573990,"upstream"
"441","PA1446","1","NC_002516.2",1574699,1574700,"inside"
"442","PA1447","1","NC_002516.2",1575347,1575348,"inside"
"443","PA1450","1","NC_002516.2",1578044,1578045,"inside"
"444","PA1452","1","NC_002516.2",1580435,1580436,"inside"
"445","PA1452","1","NC_002516.2",1580980,1580981,"inside"
"446","PA1453","1","NC_002516.2",1581457,1581458,"upstream"
"447","PA1454","1","NC_002516.2",1584064,1584065,"inside"
"448","PA1455","1","NC_002516.2",1585122,1585123,"inside"
"449","PA1455","1","NC_002516.2",1585162,1585163,"inside"
"450","PA1458","1","NC_002516.2",1586582,1586583,"upstream"
"451","PA1458","1","NC_002516.2",1586797,1586798,"upstream"
"452","PA1459","1","NC_002516.2",1588315,1588316,"upstream"
"453","PA1459","1","NC_002516.2",1588871,1588872,"upstream"
"454","PA1459","1","NC_002516.2",1589086,1589087,"upstream"
"455","PA1459","1","NC_002516.2",1589418,1589419,"inside"
"456","PA1483","1","NC_002516.2",1608683,1608684,"inside"
"457","PA1485","1","NC_002516.2",1611356,1611357,"inside"
"458","PA1486","1","NC_002516.2",1611488,1611489,"upstream"
"459","PA1486","1","NC_002516.2",1611854,1611855,"upstream"
"460","PA1486","1","NC_002516.2",1612396,1612397,"inside"
"461","PA1497","1","NC_002516.2",1626414,1626415,"upstream"
"462","PA1498","1","NC_002516.2",1626961,1626962,"inside"
